names,years,num_trips
E 43 St & 2 Ave,2015,13737
E 43 St & 2 Ave,2016,13341
E 43 St & Vanderbilt Ave,2013,32092
E 43 St & Vanderbilt Ave,2014,56264
E 43 St & Vanderbilt Ave,2015,40861
E 45 St & 3 Ave,2013,12439
E 45 St & 3 Ave,2014,20444
E 45 St & 3 Ave,2015,24623
E 45 St & 3 Ave,2016,22553
E 47 St & 1 Ave,2013,7185
E 47 St & 1 Ave,2014,11847
E 47 St & 1 Ave,2015,13381
E 47 St & 1 Ave,2016,11642
E 47 St & 2 Ave,2013,14019
E 47 St & 2 Ave,2014,18887
E 47 St & 2 Ave,2015,23685
E 47 St & 2 Ave,2016,23056
E 47 St & Park Ave,2013,16911
E 47 St & Park Ave,2014,29563
E 47 St & Park Ave,2015,41483
E 47 St & Park Ave,2016,56744
E 48 St & 3 Ave,2013,12993
E 48 St & 3 Ave,2014,21674
E 48 St & 3 Ave,2015,23466
E 48 St & 3 Ave,2016,22522
E 48 St & 5 Ave,2015,7734
E 48 St & 5 Ave,2016,29320
E 48 St & Madison Ave,2014,1781
E 48 St & Madison Ave,2015,12372
E 5 St & Avenue C,2013,9313
E 5 St & Avenue C,2014,15943
E 5 St & Avenue C,2015,17853
E 5 St & Avenue C,2016,16565
E 51 St & 1 Ave,2013,10481
E 51 St & 1 Ave,2014,13281
E 51 St & 1 Ave,2015,15766
E 51 St & 1 Ave,2016,14682
E 51 St & Lexington Ave,2013,14974
E 51 St & Lexington Ave,2014,19074
E 51 St & Lexington Ave,2015,22755
E 51 St & Lexington Ave,2016,17762
E 52 St & 2 Ave,2013,7599
E 52 St & 2 Ave,2014,14969
E 52 St & 2 Ave,2015,20788
E 52 St & 2 Ave,2016,21100
E 53 St & Lexington Ave,2013,13911
E 53 St & Lexington Ave,2014,17012
E 53 St & Lexington Ave,2015,19170
